DrawingNumbers,Powerball,Result,Jackpot,Weekday,Date
"[2, 13, 15, 17, 31]",5,0,4710307,Friday,2015-01-09
"[2, 9, 14, 18, 20]",20,0,2259813,Tuesday,2015-01-06
"[1, 14, 21, 41, 43]",16,1,8728070,Friday,2015-01-02
"[14, 31, 33, 42, 44]",15,0,15632110,Friday,2016-12-30
"[8, 16, 20, 21, 36]",4,0,12644894,Tuesday,2016-12-27
"[1, 4, 6, 11, 16]",2,0,10615653,Friday,2016-12-23
"[1, 9, 17, 20, 23]",12,0,7581323,Tuesday,2016-12-20
"[8, 15, 26, 28, 35]",10,0,4976036,Friday,2016-12-16
"[7, 8, 23, 26, 33]",16,0,2488247,Tuesday,2016-12-13
"[1, 2, 8, 10, 14]",9,1,8446049,Friday,2016-12-09
"[1, 24, 29, 33, 38]",20,0,5648287,Tuesday,2016-12-06
"[1, 11, 24, 28, 42]",9,0,3033004,Friday,2016-12-02
"[4, 9, 22, 31, 41]",12,1,14615519,Tuesday,2016-11-29
"[5, 21, 22, 28, 33]",18,0,10933113,Friday,2016-11-25
"[17, 18, 19, 25, 36]",13,0,7690547,Tuesday,2016-11-22
"[2, 7, 12, 18, 21]",10,0,5317820,Friday,2016-11-18
"[11, 17, 23, 42, 45]",13,0,2482701,Tuesday,2016-11-15
"[1, 3, 20, 35, 36]",12,1,57782113,Friday,2016-11-11
"[5, 30, 40, 43, 44]",2,0,53047670,Tuesday,2016-11-08
"[5, 14, 23, 31, 36]",19,0,48817714,Friday,2016-11-04
"[24, 25, 26, 37, 44]",12,0,43940234,Tuesday,2016-11-01
"[9, 10, 18, 25, 36]",3,0,39799414,Friday,2016-10-28
"[8, 24, 27, 30, 43]",14,0,35487673,Tuesday,2016-10-25
"[8, 15, 20, 22, 29]",19,0,31764977,Friday,2016-10-21
"[7, 19, 35, 41, 44]",16,0,27922491,Tuesday,2016-10-18
"[4, 12, 31, 38, 40]",3,0,24733795,Friday,2016-10-14
"[15, 23, 24, 26, 36]",19,0,21128906,Tuesday,2016-10-11
"[2, 14, 24, 34, 45]",7,0,18044209,Friday,2016-10-07
"[4, 16, 18, 25, 30]",6,0,15018042,Tuesday,2016-10-04
"[5, 15, 16, 25, 36]",16,0,11936500,Friday,2016-09-30
"[3, 11, 34, 37, 45]",15,0,8494232,Tuesday,2016-09-27
"[3, 11, 30, 32, 37]",3,0,5623726,Friday,2016-09-23
"[2, 18, 29, 32, 44]",20,0,2583659,Tuesday,2016-09-20
"[1, 12, 33, 34, 37]",16,1,62996196,Friday,2016-09-16
"[1, 5, 16, 21, 40]",2,0,57311221,Tuesday,2016-09-13
"[2, 18, 35, 37, 41]",15,0,52590504,Friday,2016-09-09
"[4, 18, 39, 43, 44]",12,0,47437328,Tuesday,2016-09-06
"[20, 23, 30, 38, 41]",10,0,43182906,Friday,2016-09-02
"[4, 9, 14, 18, 34]",10,0,38422399,Tuesday,2016-08-30
"[2, 12, 14, 32, 42]",8,0,34402768,Friday,2016-08-26
"[9, 13, 19, 26, 43]",8,0,30000000,Tuesday,2016-08-23
"[6, 18, 32, 33, 36]",4,0,22910098,Friday,2016-08-19
"[7, 8, 16, 30, 44]",14,0,19192247,Tuesday,2016-08-16
"[10, 15, 35, 38, 39]",13,0,16231471,Friday,2016-08-12
"[5, 13, 17, 24, 36]",18,0,13056538,Tuesday,2016-08-09
"[3, 21, 34, 37, 40]",20,0,10444541,Friday,2016-08-05
"[8, 11, 14, 30, 42]",8,0,7134240,Tuesday,2016-08-02
"[4, 12, 31, 41, 42]",19,0,3982870,Friday,2016-07-29
"[1, 6, 16, 22, 25]",13,1,3114397,Tuesday,2016-07-26
"[1, 7, 16, 28, 35]",3,1,87624435,Friday,2016-07-22
"[2, 31, 34, 38, 39]",5,0,78414357,Tuesday,2016-07-19
"[2, 14, 31, 34, 37]",12,0,71010601,Friday,2016-07-15
"[4, 12, 23, 31, 41]",5,0,63240757,Tuesday,2016-07-12
"[1, 12, 26, 36, 37]",3,0,57081521,Friday,2016-07-08
"[9, 17, 19, 29, 42]",15,0,51271198,Tuesday,2016-07-05
"[17, 20, 22, 27, 41]",18,0,46322732,Friday,2016-07-01
"[4, 5, 7, 10, 34]",16,0,41426975,Tuesday,2016-06-28
"[1, 7, 9, 21, 43]",9,0,37345121,Friday,2016-06-24
"[3, 13, 22, 26, 43]",18,0,33387306,Tuesday,2016-06-21
"[7, 9, 23, 39, 45]",10,0,30428841,Friday,2016-06-17
"[20, 24, 40, 44, 45]",17,0,27275311,Tuesday,2016-06-14
"[3, 6, 17, 21, 27]",10,0,24430395,Friday,2016-06-10
"[3, 4, 11, 23, 37]",17,0,21073409,Tuesday,2016-06-07
"[7, 14, 20, 37, 43]",12,0,17730003,Friday,2016-06-03
"[3, 28, 38, 39, 42]",16,0,14225490,Tuesday,2016-05-31
"[7, 15, 24, 28, 29]",2,0,10909441,Friday,2016-05-27
"[8, 12, 23, 24, 31]",15,0,7732372,Tuesday,2016-05-24
"[21, 29, 32, 36, 43]",3,0,5316248,Friday,2016-05-20
"[8, 15, 17, 24, 30]",18,0,2584881,Tuesday,2016-05-17
"[3, 5, 23, 29, 37]",20,1,3065946,Friday,2016-05-13
"[5, 20, 26, 27, 33]",18,1,28013570,Tuesday,2016-05-10
"[3, 13, 24, 41, 44]",5,0,24470209,Friday,2016-05-06
"[1, 15, 23, 32, 41]",11,0,20761394,Tuesday,2016-05-03
"[3, 11, 22, 35, 41]",9,0,17801150,Friday,2016-04-29
"[1, 3, 16, 19, 31]",13,0,14334413,Tuesday,2016-04-26
"[1, 4, 12, 18, 29]",16,0,10657759,Friday,2016-04-22
"[10, 11, 12, 32, 33]",17,0,6804669,Tuesday,2016-04-19
"[20, 29, 33, 37, 38]",6,0,3663154,Friday,2016-04-15
"[2, 16, 18, 20, 24]",16,1,21476917,Tuesday,2016-04-12
"[24, 28, 34, 35, 43]",13,0,17824848,Friday,2016-04-08
"[4, 24, 27, 36, 40]",8,0,14255466,Tuesday,2016-04-05
"[11, 15, 31, 37, 43]",11,0,10967241,Friday,2016-04-01
"[4, 28, 37, 40, 45]",14,0,7291180,Tuesday,2016-03-29
"[1, 7, 12, 21, 33]",2,0,4710153,Friday,2016-03-25
"[11, 13, 23, 42, 43]",4,0,2344820,Tuesday,2016-03-22
"[14, 17, 26, 32, 33]",14,1,5667711,Friday,2016-03-18
"[4, 7, 32, 41, 44]",11,0,2725461,Tuesday,2016-03-15
"[1, 2, 3, 13, 34]",11,1,32759712,Friday,2016-03-11
"[2, 6, 15, 26, 39]",12,0,28563953,Tuesday,2016-03-08
"[1, 6, 30, 40, 43]",6,0,24800207,Friday,2016-03-04
"[4, 8, 15, 17, 27]",1,0,20773892,Tuesday,2016-03-01
"[5, 12, 35, 36, 38]",17,0,16867641,Friday,2016-02-26
"[3, 15, 16, 23, 24]",3,0,13115997,Tuesday,2016-02-23
"[12, 14, 15, 23, 41]",18,0,10366673,Friday,2016-02-19
"[5, 9, 11, 14, 42]",7,0,7456448,Tuesday,2016-02-16
"[9, 32, 40, 42, 44]",19,0,5228465,Friday,2016-02-12
"[14, 21, 41, 42, 43]",4,0,2509906,Tuesday,2016-02-09
"[6, 15, 16, 31, 40]",9,1,12903144,Friday,2016-02-05
"[7, 8, 32, 35, 44]",9,0,9619140,Tuesday,2016-02-02
"[5, 14, 20, 24, 28]",5,0,6466443,Friday,2016-01-29
"[3, 12, 16, 27, 37]",12,0,2974591,Tuesday,2016-01-26
"[1, 5, 15, 23, 43]",11,1,42096153,Friday,2016-01-22
"[1, 4, 9, 35, 39]",5,0,36781385,Tuesday,2016-01-19
"[4, 9, 19, 31, 32]",1,0,32259460,Friday,2016-01-15
"[10, 16, 27, 29, 36]",13,0,27546371,Tuesday,2016-01-12
"[15, 17, 38, 39, 43]",11,0,24033785,Friday,2016-01-08
"[24, 29, 38, 39, 45]",18,0,20444132,Tuesday,2016-01-05
"[13, 17, 24, 34, 40]",18,0,16762455,Friday,2016-01-01
"[3, 7, 21, 41, 42]",18,0,55525530,Friday,2017-12-29
"[13, 14, 29, 42, 44]",4,0,51954335,Tuesday,2017-12-26
"[5, 9, 16, 19, 31]",3,0,50000000,Friday,2017-12-22
"[3, 7, 11, 43, 44]",4,0,18821597,Tuesday,2017-12-19
"[2, 9, 10, 17, 44]",18,0,16285704,Friday,2017-12-15
"[7, 10, 15, 24, 39]",19,0,13652870,Tuesday,2017-12-12
"[3, 8, 17, 22, 27]",13,0,11496343,Friday,2017-12-08
"[4, 8, 19, 32, 40]",18,0,9203055,Tuesday,2017-12-05
"[8, 11, 22, 28, 29]",1,0,6970652,Friday,2017-12-01
"[7, 11, 28, 38, 39]",14,0,4427622,Tuesday,2017-11-28
"[4, 14, 29, 37, 43]",18,0,2245605,Friday,2017-11-24
"[16, 23, 32, 34, 41]",18,1,19512719,Tuesday,2017-11-21
"[13, 14, 24, 36, 42]",20,0,17181000,Friday,2017-11-17
"[8, 21, 25, 34, 41]",20,0,14508542,Tuesday,2017-11-14
"[13, 28, 31, 33, 44]",8,0,12262447,Friday,2017-11-10
"[9, 10, 22, 34, 44]",18,0,9863835,Tuesday,2017-11-07
"[3, 17, 19, 23, 44]",19,0,7563355,Friday,2017-11-03
"[6, 10, 16, 36, 43]",17,0,4856419,Tuesday,2017-10-31
"[14, 15, 21, 29, 45]",6,0,2506843,Friday,2017-10-27
"[13, 26, 37, 42, 44]",3,1,13880564,Tuesday,2017-10-24
"[19, 20, 24, 26, 30]",20,0,11792441,Friday,2017-10-20
"[1, 3, 10, 39, 43]",13,0,9452457,Tuesday,2017-10-17
"[5, 8, 25, 30, 32]",17,0,7385837,Friday,2017-10-13
"[13, 15, 25, 29, 39]",14,0,4751801,Tuesday,2017-10-10
"[18, 22, 23, 31, 38]",17,0,2608171,Friday,2017-10-06
"[7, 26, 35, 36, 39]",14,1,13019620,Tuesday,2017-10-03
"[26, 28, 32, 39, 42]",9,0,10435863,Friday,2017-09-29
"[9, 17, 33, 42, 45]",13,0,7662027,Tuesday,2017-09-26
"[4, 12, 28, 30, 39]",3,0,5516383,Friday,2017-09-22
"[15, 22, 25, 36, 39]",19,0,2655177,Tuesday,2017-09-19
"[11, 16, 24, 28, 44]",6,1,8757520,Friday,2017-09-15
"[2, 3, 11, 29, 41]",15,0,5670504,Tuesday,2017-09-12
"[6, 7, 34, 39, 42]",12,0,2948499,Friday,2017-09-08
"[2, 13, 14, 15, 32]",6,1,2925153,Tuesday,2017-09-05
"[11, 13, 31, 39, 41]",15,1,3314549,Friday,2017-09-01
"[12, 13, 17, 19, 34]",11,1,24571442,Tuesday,2017-08-29
"[2, 15, 23, 28, 32]",2,0,21550259,Friday,2017-08-25
"[15, 19, 31, 36, 44]",9,0,18182778,Tuesday,2017-08-22
"[13, 23, 30, 34, 40]",11,0,15958957,Friday,2017-08-18
"[4, 17, 27, 34, 35]",5,0,13418214,Tuesday,2017-08-15
"[11, 28, 31, 32, 41]",18,0,10975395,Friday,2017-08-11
"[3, 5, 12, 14, 22]",9,0,8273003,Tuesday,2017-08-08
"[15, 17, 24, 25, 28]",17,0,5855563,Friday,2017-08-04
"[5, 18, 36, 40, 42]",5,0,2854749,Tuesday,2017-08-01
"[7, 28, 30, 35, 39]",1,1,41030556,Friday,2017-07-28
"[12, 18, 22, 29, 44]",6,0,36197978,Tuesday,2017-07-25
"[7, 20, 29, 40, 43]",6,0,32594115,Friday,2017-07-21
"[23, 25, 30, 40, 43]",20,0,28942644,Tuesday,2017-07-18
"[21, 28, 29, 31, 35]",8,0,26061833,Friday,2017-07-14
"[2, 15, 19, 27, 34]",19,0,22825809,Tuesday,2017-07-11
"[9, 16, 18, 32, 43]",2,0,19973254,Friday,2017-07-07
"[5, 7, 10, 15, 30]",5,0,16672589,Tuesday,2017-07-04
"[4, 5, 10, 23, 28]",3,0,13843587,Friday,2017-06-30
"[26, 27, 30, 32, 45]",16,0,10365692,Tuesday,2017-06-27
"[14, 20, 33, 44, 45]",19,0,7654563,Friday,2017-06-23
"[14, 21, 28, 38, 40]",18,0,4822004,Tuesday,2017-06-20
"[4, 7, 25, 28, 33]",14,0,2432126,Friday,2017-06-16
"[13, 18, 32, 36, 45]",14,1,30859279,Tuesday,2017-06-13
"[11, 12, 17, 19, 35]",1,0,28039906,Friday,2017-06-09
"[1, 27, 28, 32, 43]",12,0,24709647,Tuesday,2017-06-06
"[7, 11, 16, 38, 45]",20,0,21714414,Friday,2017-06-02
"[12, 14, 25, 26, 39]",2,0,18422942,Tuesday,2017-05-30
"[13, 26, 29, 31, 37]",7,0,15590619,Friday,2017-05-26
"[4, 7, 15, 22, 26]",4,0,12660536,Tuesday,2017-05-23
"[1, 2, 9, 17, 37]",7,0,10272162,Friday,2017-05-19
"[9, 20, 30, 36, 38]",13,0,7683882,Tuesday,2017-05-16
"[1, 3, 15, 30, 37]",5,0,5288211,Friday,2017-05-12
"[18, 19, 23, 37, 43]",14,0,2604193,Tuesday,2017-05-09
"[8, 9, 21, 24, 26]",4,1,11685602,Friday,2017-05-05
"[2, 10, 12, 27, 32]",13,0,8383129,Tuesday,2017-05-02
"[8, 23, 24, 40, 44]",7,0,5711135,Friday,2017-04-28
"[2, 19, 25, 30, 32]",13,0,2770549,Tuesday,2017-04-25
"[3, 7, 11, 29, 40]",18,1,32259432,Friday,2017-04-21
"[2, 5, 21, 24, 25]",1,0,28169681,Tuesday,2017-04-18
"[13, 17, 20, 33, 42]",4,0,24107856,Friday,2017-04-14
"[14, 18, 24, 27, 38]",18,0,20137388,Tuesday,2017-04-11
"[20, 21, 24, 34, 43]",20,0,15551281,Friday,2017-04-07
"[10, 19, 28, 33, 34]",1,0,10072936,Tuesday,2017-04-04
"[9, 11, 20, 22, 36]",13,0,5143915,Friday,2017-03-31
"[2, 6, 7, 22, 27]",3,1,4665459,Tuesday,2017-03-28
"[1, 3, 5, 13, 15]",11,1,30562982,Friday,2017-03-24
"[7, 9, 10, 33, 34]",14,0,25807389,Tuesday,2017-03-21
"[6, 15, 20, 31, 37]",8,0,22613613,Friday,2017-03-17
"[11, 19, 31, 33, 36]",10,0,18693283,Tuesday,2017-03-14
"[11, 20, 24, 28, 33]",2,0,15282392,Friday,2017-03-10
"[6, 10, 14, 35, 44]",5,0,11251326,Tuesday,2017-03-07
"[1, 19, 24, 34, 41]",16,0,7715443,Friday,2017-03-03
"[9, 15, 20, 42, 45]",5,0,3564622,Tuesday,2017-02-28
"[6, 9, 20, 30, 38]",11,1,9460075,Friday,2017-02-24
"[9, 11, 14, 29, 37]",5,0,5918541,Tuesday,2017-02-21
"[9, 20, 23, 39, 42]",6,0,3253095,Friday,2017-02-17
"[5, 12, 14, 39, 42]",17,0,8028626,Tuesday,2017-02-14
"[1, 12, 21, 24, 42]",5,0,5038569,Friday,2017-02-10
"[7, 16, 18, 30, 39]",2,0,2430092,Tuesday,2017-02-07
"[20, 22, 37, 39, 43]",17,1,2927710,Friday,2017-02-03
"[2, 9, 31, 40, 45]",3,1,2597450,Tuesday,2017-01-31
"[4, 5, 16, 28, 30]",10,1,5454151,Friday,2017-01-27
"[7, 19, 33, 35, 39]",5,0,2417562,Tuesday,2017-01-24
"[5, 7, 17, 23, 41]",6,1,35166667,Friday,2017-01-20
"[12, 29, 35, 36, 41]",10,0,30973817,Tuesday,2017-01-17
"[14, 20, 21, 26, 38]",18,0,27585225,Friday,2017-01-13
"[6, 20, 25, 28, 31]",10,0,23654977,Tuesday,2017-01-10
"[11, 14, 30, 40, 42]",9,0,20999992,Friday,2017-01-06
"[6, 16, 26, 29, 31]",8,0,18003174,Tuesday,2017-01-03
"[18, 21, 30, 32, 50]",8,0,50000000,Friday,2018-12-28
"[13, 16, 28, 29, 30]",7,0,31954159,Tuesday,2018-12-25
"[22, 34, 40, 44, 48]",2,0,29502785,Friday,2018-12-21
"[3, 5, 14, 20, 32]",16,0,25059495,Tuesday,2018-12-18
"[4, 5, 9, 16, 20]",3,0,21705676,Friday,2018-12-14
"[7, 29, 39, 42, 48]",7,0,17785459,Tuesday,2018-12-11
"[3, 6, 22, 33, 47]",15,0,14623900,Friday,2018-12-07
"[5, 13, 20, 33, 34]",6,0,10837919,Tuesday,2018-12-04
"[12, 15, 25, 29, 49]",7,0,7385137,Friday,2018-11-30
"[12, 27, 39, 41, 46]",10,0,3638366,Tuesday,2018-11-27
"[3, 6, 8, 23, 30]",8,1,7453480,Friday,2018-11-23
"[14, 32, 33, 37, 47]",15,0,3450129,Tuesday,2018-11-20
"[20, 24, 32, 33, 35]",18,1,36904117,Friday,2018-11-16
"[4, 6, 19, 24, 41]",8,0,24382438,Tuesday,2018-11-13
"[6, 7, 10, 19, 43]",20,0,20745337,Friday,2018-11-09
"[10, 20, 48, 49, 50]",12,0,16255931,Tuesday,2018-11-06
"[2, 30, 36, 42, 47]",13,0,12318114,Friday,2018-11-02
"[19, 20, 24, 27, 29]",19,0,8053318,Tuesday,2018-10-30
"[2, 15, 19, 24, 38]",20,0,4346525,Friday,2018-10-26
"[4, 17, 21, 28, 48]",20,1,41326687,Tuesday,2018-10-23
"[1, 32, 39, 41, 43]",6,0,37511603,Friday,2018-10-19
"[2, 8, 27, 35, 41]",8,0,32980748,Tuesday,2018-10-16
"[1, 2, 11, 19, 44]",8,0,29062467,Friday,2018-10-12
"[5, 13, 22, 24, 40]",5,0,24783798,Tuesday,2018-10-09
"[32, 36, 42, 46, 49]",11,0,20916287,Friday,2018-10-05
"[3, 7, 15, 24, 35]",18,0,16381958,Tuesday,2018-10-02
"[7, 24, 31, 36, 50]",2,0,12150201,Friday,2018-09-28
"[7, 15, 17, 30, 40]",11,0,7670329,Tuesday,2018-09-25
"[28, 32, 39, 43, 46]",8,0,4477915,Friday,2018-09-21
"[15, 22, 23, 31, 38]",1,1,64426934,Tuesday,2018-09-18
"[10, 17, 29, 31, 40]",9,0,58559656,Friday,2018-09-14
"[3, 26, 34, 40, 50]",12,0,52338634,Tuesday,2018-09-11
"[9, 11, 20, 28, 44]",6,0,47149329,Friday,2018-09-07
"[3, 13, 24, 25, 41]",8,0,41363156,Tuesday,2018-09-04
"[7, 38, 42, 43, 47]",3,0,36292143,Friday,2018-08-31
"[4, 13, 21, 41, 44]",15,0,30591307,Tuesday,2018-08-28
"[3, 6, 25, 27, 40]",4,0,25757420,Friday,2018-08-24
"[19, 21, 23, 34, 45]",9,0,21110773,Tuesday,2018-08-21
"[9, 19, 24, 35, 42]",10,0,17383845,Friday,2018-08-17
"[13, 29, 32, 38, 45]",5,0,12938864,Tuesday,2018-08-14
"[3, 10, 14, 43, 50]",14,0,10000000,Friday,2018-08-10
"[2, 3, 19, 24, 30]",3,0,4603902,Tuesday,2018-08-07
"[1, 15, 23, 24, 35]",4,1,145469799,Friday,2018-08-03
"[3, 6, 14, 34, 36]",12,0,128039794,Tuesday,2018-07-31
"[4, 15, 19, 33, 36]",2,0,113951195,Friday,2018-07-27
"[9, 15, 18, 24, 29]",19,0,100000000,Tuesday,2018-07-24
"[9, 21, 22, 33, 39]",5,0,86703027,Friday,2018-07-20
"[12, 26, 34, 35, 44]",4,0,79463002,Tuesday,2018-07-17
"[13, 14, 34, 38, 45]",11,0,73530491,Friday,2018-07-13
"[1, 31, 34, 38, 46]",12,0,66683631,Tuesday,2018-07-10
"[8, 16, 19, 35, 39]",11,0,61079560,Friday,2018-07-06
"[3, 38, 48, 49, 50]",18,0,55151797,Tuesday,2018-07-03
"[15, 22, 25, 31, 37]",16,0,50000000,Friday,2018-06-29
"[15, 25, 39, 43, 50]",14,0,16899631,Tuesday,2018-06-26
"[2, 6, 13, 14, 19]",17,0,13544351,Friday,2018-06-22
"[12, 20, 23, 24, 37]",4,0,10000000,Tuesday,2018-06-19
"[8, 9, 14, 28, 41]",9,0,7400000,Friday,2018-06-15
"[3, 5, 31, 35, 37]",13,0,5200000,Tuesday,2018-06-12
"[3, 13, 25, 26, 34]",13,0,2652253,Friday,2018-06-08
"[10, 13, 28, 33, 45]",14,1,53792760,Tuesday,2018-06-05
"[1, 37, 40, 41, 43]",4,0,50000000,Friday,2018-06-01
"[12, 21, 31, 37, 41]",13,0,43411476,Tuesday,2018-05-29
"[6, 11, 23, 36, 37]",13,0,40265531,Friday,2018-05-25
"[3, 10, 15, 19, 44]",14,0,36502850,Tuesday,2018-05-22
"[6, 10, 11, 28, 40]",7,0,33558821,Friday,2018-05-18
"[5, 10, 20, 27, 40]",10,0,30513456,Tuesday,2018-05-15
"[8, 22, 33, 40, 43]",3,0,27613115,Friday,2018-05-11
"[3, 4, 6, 26, 44]",5,0,24533247,Tuesday,2018-05-08
"[4, 9, 11, 12, 25]",6,0,21733974,Friday,2018-05-04
"[8, 17, 29, 40, 42]",11,0,18603122,Tuesday,2018-05-01
"[2, 8, 12, 20, 43]",6,0,16333153,Friday,2018-04-27
"[6, 16, 17, 39, 43]",4,0,13783738,Tuesday,2018-04-24
"[5, 13, 20, 31, 35]",9,0,11680229,Friday,2018-04-20
"[3, 6, 7, 16, 33]",17,0,9304584,Tuesday,2018-04-17
"[6, 9, 21, 23, 30]",14,0,7190811,Friday,2018-04-13
"[2, 14, 17, 31, 34]",19,0,4728819,Tuesday,2018-04-10
"[3, 11, 26, 35, 43]",3,0,2525476,Friday,2018-04-06
"[4, 13, 16, 33, 40]",2,1,36895720,Tuesday,2018-04-03
"[8, 19, 34, 37, 41]",11,0,34066280,Friday,2018-03-30
"[4, 9, 12, 18, 31]",6,0,31201787,Tuesday,2018-03-27
"[3, 23, 24, 35, 37]",9,0,28335834,Friday,2018-03-23
"[5, 21, 35, 37, 40]",9,0,25527542,Tuesday,2018-03-20
"[8, 17, 29, 31, 38]",5,0,23233808,Friday,2018-03-16
"[13, 26, 31, 37, 43]",15,0,20523588,Tuesday,2018-03-13
"[9, 11, 20, 26, 34]",10,0,18132187,Friday,2018-03-09
"[12, 24, 29, 35, 36]",1,0,15434255,Tuesday,2018-03-06
"[1, 14, 27, 33, 40]",12,0,12870371,Friday,2018-03-02
"[6, 16, 18, 33, 34]",13,0,9939094,Tuesday,2018-02-27
"[15, 20, 31, 36, 45]",17,0,7523728,Friday,2018-02-23
"[8, 27, 30, 33, 42]",3,0,4830818,Tuesday,2018-02-20
"[2, 8, 26, 28, 30]",2,0,2649911,Friday,2018-02-16
"[5, 10, 12, 29, 42]",8,1,16272096,Tuesday,2018-02-13
"[1, 8, 10, 26, 39]",17,0,13000000,Friday,2018-02-09
"[6, 7, 21, 27, 40]",15,0,9646467,Tuesday,2018-02-06
"[10, 13, 30, 36, 45]",19,0,6417297,Friday,2018-02-02
"[8, 20, 41, 42, 43]",4,0,2816925,Tuesday,2018-01-30
"[6, 8, 14, 22, 25]",3,1,8435436,Friday,2018-01-26
"[3, 28, 40, 41, 42]",8,0,5042554,Tuesday,2018-01-23
"[1, 3, 13, 24, 27]",12,0,2711360,Friday,2018-01-19
"[12, 27, 29, 35, 36]",15,1,2486663,Tuesday,2018-01-16
"[15, 17, 20, 25, 42]",19,1,70031306,Friday,2018-01-12
"[4, 11, 18, 19, 40]",19,0,65658533,Tuesday,2018-01-09
"[8, 31, 34, 35, 44]",4,0,62021228,Friday,2018-01-05
"[21, 29, 30, 34, 37]",20,0,58327734,Tuesday,2018-01-02
"[22, 31, 44, 49, 50]",8,0,50000000,Tuesday,2019-12-31
"[4, 13, 34, 36, 38]",4,0,37060519,Friday,2019-12-27
"[14, 18, 29, 41, 46]",6,0,33268219,Tuesday,2019-12-24
"[8, 10, 22, 36, 40]",20,0,28863255,Friday,2019-12-20
"[15, 27, 33, 38, 48]",1,0,24358627,Tuesday,2019-12-17
"[1, 9, 13, 25, 34]",10,0,20624733,Friday,2019-12-13
"[18, 21, 24, 40, 50]",17,0,16309679,Tuesday,2019-12-10
"[12, 19, 33, 34, 49]",8,0,12761343,Friday,2019-12-06
"[5, 6, 15, 23, 45]",6,0,8788761,Tuesday,2019-12-03
"[6, 11, 21, 25, 49]",12,0,4755895,Friday,2019-11-29
"[2, 8, 11, 13, 32]",3,1,114242817,Tuesday,2019-11-26
"[5, 17, 18, 20, 26]",7,0,106634699,Friday,2019-11-22
"[3, 4, 16, 43, 44]",10,0,100000000,Tuesday,2019-11-19
"[13, 15, 31, 37, 49]",13,0,88795916,Friday,2019-11-15
"[3, 5, 10, 11, 25]",10,0,82998648,Tuesday,2019-11-12
"[5, 18, 27, 37, 45]",12,0,77767539,Friday,2019-11-08
"[4, 7, 18, 27, 37]",8,0,71390621,Tuesday,2019-11-05
"[13, 25, 29, 43, 47]",12,0,66217899,Friday,2019-11-01
"[8, 29, 38, 41, 50]",2,0,60192826,Tuesday,2019-10-29
"[2, 21, 29, 37, 49]",9,0,59797737,Friday,2019-10-25
"[3, 22, 31, 35, 48]",16,0,50000000,Tuesday,2019-10-22
"[15, 21, 31, 34, 44]",2,0,45454039,Friday,2019-10-18
"[10, 34, 36, 39, 50]",6,0,41109639,Tuesday,2019-10-15
"[15, 16, 17, 26, 43]",10,0,37052832,Friday,2019-10-11
"[4, 15, 36, 37, 50]",17,0,33000000,Tuesday,2019-10-08
"[4, 5, 23, 29, 31]",17,0,28584743,Friday,2019-10-04
"[3, 9, 29, 32, 50]",7,0,24000000,Tuesday,2019-10-01
"[14, 16, 18, 22, 39]",15,0,19766485,Friday,2019-09-27
"[6, 34, 35, 36, 46]",12,0,15000000,Tuesday,2019-09-24
"[9, 16, 22, 29, 35]",6,0,12102330,Friday,2019-09-20
"[13, 21, 23, 35, 49]",8,0,8057576,Tuesday,2019-09-17
"[8, 9, 10, 11, 42]",9,0,4452166,Friday,2019-09-13
"[10, 15, 24, 28, 50]",5,1,21939453,Tuesday,2019-09-10
"[2, 20, 25, 40, 49]",20,0,17639051,Friday,2019-09-06
"[6, 11, 16, 31, 34]",19,0,12636625,Tuesday,2019-09-03
"[8, 14, 36, 40, 47]",2,0,6845079,Friday,2019-08-30
"[4, 5, 9, 10, 11]",13,1,5490368,Tuesday,2019-08-27
"[8, 9, 15, 20, 24]",14,1,141343181,Friday,2019-08-23
"[11, 19, 20, 39, 41]",9,0,130000000,Tuesday,2019-08-20
"[3, 10, 14, 31, 41]",9,0,119848161,Friday,2019-08-16
"[5, 16, 17, 25, 38]",2,0,110000000,Tuesday,2019-08-13
"[2, 18, 34, 37, 48]",3,0,100000000,Friday,2019-08-09
"[6, 8, 15, 30, 37]",20,0,85000000,Tuesday,2019-08-06
"[5, 31, 45, 46, 47]",5,0,78761158,Friday,2019-08-02
"[1, 14, 29, 32, 38]",18,0,70000000,Tuesday,2019-07-30
"[4, 17, 19, 43, 48]",7,0,65277858,Friday,2019-07-26
"[4, 6, 35, 45, 48]",20,0,60000000,Tuesday,2019-07-23
"[3, 12, 13, 20, 41]",16,0,55055514,Friday,2019-07-19
"[3, 5, 20, 23, 40]",14,0,50000000,Tuesday,2019-07-16
"[29, 35, 46, 47, 48]",17,0,42774434,Friday,2019-07-12
"[9, 12, 28, 44, 49]",13,0,38022655,Tuesday,2019-07-09
"[28, 37, 39, 46, 47]",12,0,34249598,Friday,2019-07-05
"[16, 29, 43, 44, 47]",15,0,29707155,Tuesday,2019-07-02
"[3, 13, 16, 33, 41]",10,0,25444942,Friday,2019-06-28
"[3, 32, 33, 38, 40]",11,0,21064303,Tuesday,2019-06-25
"[8, 15, 28, 46, 49]",8,0,17476151,Friday,2019-06-21
"[2, 3, 17, 20, 33]",3,0,13878631,Tuesday,2019-06-18
"[24, 26, 27, 35, 39]",15,0,10910150,Friday,2019-06-14
"[11, 14, 15, 38, 47]",13,0,7113120,Tuesday,2019-06-11
"[4, 11, 21, 22, 45]",14,0,3923953,Friday,2019-06-07
"[10, 16, 22, 46, 50]",19,1,55270216,Tuesday,2019-06-04
